Cluster p(FWE-corr),Cluster p(FDR-corr),Cluster size (equivk),Cluster p(unc),Peak (FWE-corr),Peak (FDR-corr),Peak F,Peak equivZ,Peak p(unc),x (mm),y (mm),z (mm),Juelich Histological Atlas,Harvard-Oxford Cortical Structural Atlas,Harvard-Oxford Subcortical Structural Atlas
NaN,NaN,NaN,NaN,0.965,0.516,3.96,3.74,0,-20,-36,-24,,"4.0% Parahippocampal Gyrus, posterior division",4.0% Left Cerebral Cortex 
0.407,0.246,56,0.026,0.757,0.382,4.28,4,0,-40,-20,8,39.0% GM Insula Ig2 L; 24.0% GM Primary auditory cortex TE1.0 L; 20.0% GM Primary auditory cortex TE1.1 L; 15.0% WM Acoustic radiation L; 3.0% GM Insula Ig1 L; 2.0% GM Insula Id1 L,57.0% Heschl's Gyrus (includes H1 and H2); 20.0% Insular Cortex,89.6% Left Cerebral Cortex ; 5.9% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.998,0.704,3.71,3.52,0,-36,-20,-8,67.0% WM Optic radiation L; 8.0% WM Acoustic radiation L; 4.0% GM Insula Id1 L; 1.0% WM Inferior occipito-frontal fascicle L,1.0% Planum Polare,98.1% Left Cerebral White Matter; 1.9% Left Cerebral Cortex ; 0.1% Left Putamen
NaN,NaN,NaN,NaN,1,0.855,3.47,3.31,0,-34,-24,0,31.0% WM Acoustic radiation L; 16.0% GM Insula Ig2 L; 14.0% GM Insula Id1 L; 4.0% WM Optic radiation L; 3.0% GM Insula Ig1 L,13.0% Insular Cortex; 1.0% Planum Polare,76.7% Left Cerebral White Matter; 20.8% Left Cerebral Cortex ; 2.5% Left Putamen
0.015,0.015,154,0.001,0.774,0.382,4.26,3.99,0,54,-28,22,52.0% GM Secondary somatosensory cortex / Parietal operculum OP1 R; 40.0% GM Inferior parietal lobule PFcm R; 3.0% GM Inferior parietal lobule PF R; 2.0% GM Inferior parietal lobule PFop R,"47.0% Parietal Operculum Cortex; 15.0% Supramarginal Gyrus, anterior division; 11.0% Planum Temporale; 3.0% Supramarginal Gyrus, posterior division",77.1% Right Cerebral Cortex ; 21.8% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.915,0.493,4.08,3.83,0,62,-26,36,82.0% GM Inferior parietal lobule PF R; 20.0% GM Inferior parietal lobule PFt R; 20.0% GM Secondary somatosensory cortex / Parietal operculum OP1 R; 3.0% GM Inferior parietal lobule PFcm R; 2.0% GM Inferior parietal lobule PFop R,"67.0% Supramarginal Gyrus, anterior division; 4.0% Parietal Operculum Cortex; 3.0% Postcentral Gyrus; 2.0% Planum Temporale; 1.0% Supramarginal Gyrus, posterior division",78.5% Right Cerebral Cortex ; 19.9% Right Cerebral White Matter
0.908,0.592,25,0.118,0.801,0.382,4.23,3.96,0,-28,22,2,,23.0% Insular Cortex,60.0% Left Cerebral White Matter; 40.0% Left Cerebral Cortex 
0.735,0.446,36,0.066,0.806,0.382,4.23,3.96,0,-22,2,-36,99.0% GM Hippocampus entorhinal cortex L,"47.0% Parahippocampal Gyrus, anterior division; 41.0% Temporal Pole",93.4% Left Cerebral Cortex ; 0.6% Left Cerebral White Matter
0.896,0.59,26,0.112,0.814,0.382,4.22,3.95,0,-24,-56,-18,,"18.0% Temporal Occipital Fusiform Cortex; 1.0% Inferior Temporal Gyrus, temporooccipital part; 1.0% Occipital Fusiform Gyrus",19.1% Left Cerebral Cortex 
0.51,0.305,49,0.035,0.942,0.501,4.03,3.79,0,-8,50,22,,29.0% Paracingulate Gyrus; 24.0% Superior Frontal Gyrus; 2.0% Frontal Pole,62.7% Left Cerebral Cortex ; 37.3% Left Cerebral White Matter
0.837,0.533,30,0.09,0.947,0.501,4.01,3.78,0,8,2,42,20.0% GM Premotor cortex BA6 R; 9.0% WM Cingulum R,"52.0% Cingulate Gyrus, anterior division; 21.0% Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex); 2.0% Paracingulate Gyrus",75.0% Right Cerebral Cortex ; 25.0% Right Cerebral White Matter
0.77,0.461,34,0.073,0.949,0.501,4.01,3.78,0,-16,10,68,30.0% GM Premotor cortex BA6 L,72.0% Superior Frontal Gyrus,78.4% Left Cerebral Cortex ; 5.3% Left Cerebral White Matter
NaN,NaN,NaN,NaN,1,0.92,3.33,3.19,0.001,-22,10,60,17.0% GM Premotor cortex BA6 L,45.0% Superior Frontal Gyrus; 5.0% Middle Frontal Gyrus,63.6% Left Cerebral Cortex ; 28.3% Left Cerebral White Matter
0.942,0.637,22,0.141,0.959,0.501,3.98,3.75,0,64,-20,8,,"42.0% Planum Temporale; 9.0% Superior Temporal Gyrus, posterior division; 3.0% Parietal Operculum Cortex; 1.0% Central Opercular Cortex; 1.0% Heschl's Gyrus (includes H1 and H2)",58.4% Right Cerebral Cortex ; 41.6% Right Cerebral White Matter
0.974,0.77,18,0.18,0.969,0.519,3.95,3.73,0,-6,-86,30,10.0% GM Superior parietal lobule 7P L; 10.0% GM Visual cortex V2 BA18 L,46.0% Cuneal Cortex; 8.0% Occipital Pole; 2.0% Precuneous Cortex,58.0% Left Cerebral Cortex ; 41.6% Left Cerebral White Matter
0.994,0.77,13,0.252,0.977,0.527,3.92,3.7,0,64,-38,14,62.0% GM Inferior parietal lobule PF R; 9.0% GM Inferior parietal lobule PFcm R; 4.0% GM Inferior parietal lobule PFm R,"52.0% Supramarginal Gyrus, posterior division; 10.0% Superior Temporal Gyrus, posterior division; 3.0% Angular Gyrus; 3.0% Planum Temporale; 2.0% Middle Temporal Gyrus, posterior division; 2.0% Middle Temporal Gyrus, temporooccipital part",81.8% Right Cerebral Cortex ; 18.2% Right Cerebral White Matter
0.984,0.77,16,0.205,0.978,0.527,3.91,3.69,0,4,4,62,80.0% GM Premotor cortex BA6 R,78.0% Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex); 8.0% Superior Frontal Gyrus; 1.0% Paracingulate Gyrus,90.1% Right Cerebral Cortex ; 2.2% Right Cerebral White Matter
0.717,0.446,37,0.063,0.983,0.55,3.89,3.67,0,4,28,22,,"93.0% Cingulate Gyrus, anterior division; 1.0% Paracingulate Gyrus",94.4% Right Cerebral Cortex ; 4.2% Right Cerebral White Matter
0.998,0.77,10,0.314,0.991,0.617,3.84,3.63,0,42,-38,0,49.0% WM Optic radiation R,"9.0% Middle Temporal Gyrus, temporooccipital part; 4.0% Middle Temporal Gyrus, posterior division; 1.0% Superior Temporal Gyrus, posterior division",85.0% Right Cerebral White Matter; 15.0% Right Cerebral Cortex 
0.942,0.637,22,0.141,0.992,0.619,3.83,3.62,0,-34,-6,42,32.0% WM Corticospinal tract L; 10.0% GM Primary motor cortex BA4p L; 7.0% GM Premotor cortex BA6 L; 2.0% GM Primary motor cortex BA4a L,17.0% Precentral Gyrus,81.4% Left Cerebral White Matter; 18.6% Left Cerebral Cortex 
0.998,0.77,10,0.314,0.993,0.629,3.81,3.61,0,24,-14,50,39.0% GM Premotor cortex BA6 R; 20.0% WM Corticospinal tract R; 4.0% WM Superior longitudinal fascicle R,18.0% Precentral Gyrus; 9.0% Superior Frontal Gyrus,69.0% Right Cerebral White Matter; 31.0% Right Cerebral Cortex 
0.996,0.77,12,0.27,0.994,0.644,3.8,3.6,0,-4,-56,-24,,,
0.991,0.77,14,0.235,0.998,0.704,3.73,3.53,0,18,-20,74,80.0% GM Premotor cortex BA6 R; 20.0% GM Primary motor cortex BA4a R; 18.0% WM Corticospinal tract R,52.0% Precentral Gyrus; 2.0% Postcentral Gyrus,62.5% Right Cerebral Cortex ; 27.8% Right Cerebral White Matter
0.988,0.77,15,0.219,0.998,0.704,3.71,3.52,0,-32,-2,58,30.0% GM Premotor cortex BA6 L,41.0% Middle Frontal Gyrus; 12.0% Precentral Gyrus; 9.0% Superior Frontal Gyrus,71.5% Left Cerebral Cortex ; 21.0% Left Cerebral White Matter
NaN,NaN,NaN,NaN,1,0.855,3.46,3.3,0,-28,4,54,10.0% GM Premotor cortex BA6 L,26.0% Middle Frontal Gyrus; 23.0% Superior Frontal Gyrus; 1.0% Precentral Gyrus,56.6% Left Cerebral Cortex ; 40.3% Left Cerebral White Matter
0.996,0.77,12,0.27,0.999,0.704,3.71,3.52,0,-38,-8,4,10.0% GM Secondary somatosensory cortex / Parietal operculum OP3 L,86.0% Insular Cortex,94.1% Left Cerebral Cortex ; 5.9% Left Cerebral White Matter
0.991,0.77,14,0.235,0.999,0.729,3.68,3.49,0,36,-26,2,26.0% WM Acoustic radiation R; 25.0% WM Optic radiation R; 19.0% GM Insula Ig2 R; 18.0% GM Insula Id1 R; 18.0% GM Insula Ig1 R,5.0% Insular Cortex; 1.0% Planum Polare; 1.0% Heschl's Gyrus (includes H1 and H2),88.3% Right Cerebral White Matter; 11.7% Right Cerebral Cortex 
0.991,0.77,14,0.235,1,0.855,3.53,3.37,0,-32,38,28,,37.0% Frontal Pole; 28.0% Middle Frontal Gyrus; 1.0% Superior Frontal Gyrus,72.8% Left Cerebral Cortex ; 27.2% Left Cerebral White Matter
0.994,0.77,13,0.252,1,0.855,3.52,3.36,0,50,4,30,15.0% GM Broca's area BA44 R; 10.0% GM Premotor cortex BA6 R; 4.0% WM Corticospinal tract R,"49.0% Precentral Gyrus; 2.0% Inferior Frontal Gyrus, pars opercularis",54.5% Right Cerebral Cortex ; 45.5% Right Cerebral White Matter
0.998,0.77,10,0.314,1,0.855,3.47,3.31,0,-52,2,-8,2.0% GM Primary auditory cortex TE1.2 L,"27.0% Planum Polare; 9.0% Superior Temporal Gyrus, anterior division; 7.0% Temporal Pole; 3.0% Heschl's Gyrus (includes H1 and H2)",52.3% Left Cerebral Cortex ; 47.4% Left Cerebral White Matter
0.994,0.77,13,0.252,1,0.855,3.46,3.3,0,10,38,22,,"37.0% Paracingulate Gyrus; 28.0% Cingulate Gyrus, anterior division",66.5% Right Cerebral Cortex ; 33.5% Right Cerebral White Matter
NaN,NaN,NaN,NaN,1,0.905,3.36,3.21,0.001,10,44,30,,16.0% Paracingulate Gyrus; 11.0% Superior Frontal Gyrus,66.4% Right Cerebral White Matter; 33.6% Right Cerebral Cortex 
0.996,0.77,12,0.27,1,0.855,3.43,3.28,0.001,22,-60,46,9.0% GM Superior parietal lobule 7A R,"31.0% Lateral Occipital Cortex, superior division; 8.0% Superior Parietal Lobule",61.0% Right Cerebral White Matter; 39.0% Right Cerebral Cortex 
