Cluster p(FWE-corr),Cluster p(FDR-corr),Cluster size (equivk),Cluster p(unc),Peak (FWE-corr),Peak (FDR-corr),Peak F,Peak equivZ,Peak p(unc),x (mm),y (mm),z (mm),Juelich Histological Atlas,Harvard-Oxford Cortical Structural Atlas,Harvard-Oxford Subcortical Structural Atlas
NaN,NaN,NaN,NaN,0.078,0.068,5.21,4.75,0,-6,64,-2,,76.0% Frontal Pole,77.6% Left Cerebral Cortex ; 21.7% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.177,0.117,4.94,4.53,0,-12,62,-14,,69.0% Frontal Pole,68.7% Left Cerebral Cortex ; 31.1% Left Cerebral White Matter
0.013,0.019,57,0.004,0.057,0.057,5.31,4.82,0,-4,-18,-8,,,6.3% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.499,0.301,4.52,4.2,0,-12,-14,-10,39.0% WM Corticospinal tract L,,10.0% Left Cerebral White Matter
0.015,0.02,55,0.004,0.064,0.063,5.27,4.79,0,30,16,-16,4.0% WM Inferior occipito-frontal fascicle R,44.0% Frontal Orbital Cortex; 36.0% Insular Cortex,94.8% Right Cerebral Cortex ; 4.1% Right Cerebral White Matter
0.003,0.006,80,0.001,0.068,0.065,5.26,4.78,0,-26,-38,-4,92.0% GM Hippocampus cornu ammonis L; 82.0% GM Hippocampus dentate gyrus L; 10.0% GM Hippocampus subiculum L; 10.0% WM Callosal body; 7.0% WM Fornix,"2.0% Parahippocampal Gyrus, posterior division",76.7% Left Hippocampus; 17.5% Left Cerebral White Matter; 2.3% Left Cerebral Cortex ; 1.3% Left Lateral Ventricle; 0.6% Left Thalamus
NaN,NaN,NaN,NaN,0.173,0.116,4.95,4.54,0,-22,-38,-12,17.0% WM Cingulum L; 2.0% GM Hippocampus subiculum L,"45.0% Parahippocampal Gyrus, posterior division; 20.0% Lingual Gyrus; 2.0% Temporal Fusiform Cortex, posterior division",67.8% Left Cerebral Cortex ; 32.2% Left Cerebral White Matter
0.389,0.336,12,0.139,0.074,0.068,5.23,4.76,0,-12,8,-14,,5.0% Frontal Orbital Cortex; 2.0% Subcallosal Cortex,36.7% Left Cerebral White Matter; 34.7% Left Cerebral Cortex ; 24.6% Left Accumbens; 4.0% Left Putamen
0.122,0.13,26,0.037,0.079,0.068,5.21,4.74,0,8,-56,-44,,,
0.076,0.088,32,0.022,0.111,0.088,5.1,4.66,0,24,26,-24,,42.0% Frontal Orbital Cortex; 1.0% Frontal Pole,48.7% Right Cerebral Cortex ; 0.1% Right Cerebral White Matter
NaN,NaN,NaN,NaN,0.837,0.61,4.19,3.93,0,34,28,-16,,59.0% Frontal Orbital Cortex; 6.0% Frontal Pole,64.9% Right Cerebral Cortex ; 33.9% Right Cerebral White Matter
0.096,0.108,29,0.028,0.114,0.088,5.09,4.65,0,-34,-54,-22,,"41.0% Temporal Occipital Fusiform Cortex; 1.0% Temporal Fusiform Cortex, posterior division",43.3% Left Cerebral Cortex ; 0.1% Left Cerebral White Matter
0.254,0.23,17,0.083,0.144,0.102,5.01,4.59,0,4,-74,-40,,,
0.112,0.123,27,0.034,0.147,0.102,5,4.58,0,-42,-28,58,68.0% GM Primary somatosensory cortex BA1 L; 51.0% GM Primary somatosensory cortex BA3b L; 42.0% GM Primary somatosensory cortex BA2 L; 26.0% GM Primary motor cortex BA4a L; 8.0% GM Primary motor cortex BA4p L,45.0% Postcentral Gyrus; 6.0% Precentral Gyrus,56.6% Left Cerebral Cortex ; 41.8% Left Cerebral White Matter
0.155,0.15,23,0.047,0.157,0.108,4.98,4.57,0,-28,4,-10,37.0% WM Uncinate fascicle L; 29.0% WM Inferior occipito-frontal fascicle L,,63.5% Left Cerebral White Matter; 23.7% Left Cerebral Cortex ; 12.8% Left Putamen; 0.0% Left Amygdala
0.132,0.13,25,0.04,0.164,0.111,4.96,4.55,0,4,32,-4,7.0% WM Cingulum R,"49.0% Cingulate Gyrus, anterior division; 32.0% Subcallosal Cortex; 5.0% Paracingulate Gyrus",89.0% Right Cerebral Cortex ; 11.0% Right Cerebral White Matter
0.071,0.084,33,0.021,0.217,0.143,4.86,4.48,0,-44,-62,-46,,,
0.277,0.248,16,0.091,0.237,0.152,4.83,4.45,0,-18,-20,2,33.0% WM Corticospinal tract L,,69.4% Left Thalamus; 30.5% Left Cerebral White Matter; 0.1% Left Pallidum
0.009,0.014,63,0.003,0.286,0.183,4.76,4.39,0,-58,-8,-12,,"35.0% Middle Temporal Gyrus, anterior division; 13.0% Superior Temporal Gyrus, posterior division; 12.0% Superior Temporal Gyrus, anterior division; 11.0% Middle Temporal Gyrus, posterior division",85.5% Left Cerebral Cortex ; 8.5% Left Cerebral White Matter
0.254,0.23,17,0.083,0.304,0.192,4.74,4.38,0,28,-42,-28,,,
0.423,0.339,11,0.155,0.341,0.212,4.69,4.34,0,-24,12,42,,10.0% Middle Frontal Gyrus; 9.0% Superior Frontal Gyrus,74.6% Left Cerebral White Matter; 25.4% Left Cerebral Cortex 
0.132,0.13,25,0.04,0.342,0.212,4.69,4.34,0,10,-42,-46,,,92.3% Brain-Stem
NaN,NaN,NaN,NaN,0.876,0.676,4.14,3.88,0,2,-36,-46,,,100.0% Brain-Stem
0.461,0.367,10,0.174,0.364,0.225,4.67,4.32,0,-46,14,-30,,74.0% Temporal Pole,76.0% Left Cerebral Cortex ; 24.0% Left Cerebral White Matter
0.132,0.13,25,0.04,0.385,0.241,4.64,4.3,0,-22,20,52,10.0% GM Premotor cortex BA6 L,48.0% Superior Frontal Gyrus; 7.0% Middle Frontal Gyrus,67.9% Left Cerebral Cortex ; 29.1% Left Cerebral White Matter
0.423,0.339,11,0.155,0.456,0.276,4.57,4.24,0,-36,32,-14,,48.0% Frontal Orbital Cortex; 21.0% Frontal Pole,71.2% Left Cerebral Cortex ; 26.7% Left Cerebral White Matter
0.014,0.02,56,0.004,0.461,0.279,4.56,4.23,0,-22,-26,54,57.0% WM Corticospinal tract L; 32.0% GM Primary motor cortex BA4p L; 13.0% GM Primary motor cortex BA4a L; 10.0% GM Primary somatosensory cortex BA3a L; 10.0% GM Primary somatosensory cortex BA3b L; 2.0% GM Primary somatosensory cortex BA1 L; 2.0% GM Premotor cortex BA6 L,24.0% Precentral Gyrus; 4.0% Postcentral Gyrus,69.2% Left Cerebral White Matter; 30.8% Left Cerebral Cortex 
NaN,NaN,NaN,NaN,0.682,0.447,4.35,4.06,0,-26,-24,64,59.0% GM Premotor cortex BA6 L; 49.0% WM Corticospinal tract L; 30.0% GM Primary motor cortex BA4a L; 10.0% GM Primary somatosensory cortex BA1 L; 10.0% GM Primary somatosensory cortex BA3b L,38.0% Precentral Gyrus; 13.0% Postcentral Gyrus,57.5% Left Cerebral Cortex ; 39.2% Left Cerebral White Matter
0.182,0.17,21,0.057,0.477,0.285,4.55,4.22,0,52,-36,-8,,"6.0% Middle Temporal Gyrus, posterior division; 5.0% Middle Temporal Gyrus, temporooccipital part",87.0% Right Cerebral White Matter; 13.0% Right Cerebral Cortex 
0.301,0.267,15,0.101,0.511,0.308,4.51,4.19,0,-18,-38,66,29.0% GM Primary somatosensory cortex BA2 L; 22.0% GM Superior parietal lobule 5L L; 20.0% GM Primary somatosensory cortex BA3b L; 19.0% GM Primary motor cortex BA4a L; 16.0% GM Primary somatosensory cortex BA1 L; 4.0% WM Corticospinal tract L,51.0% Postcentral Gyrus; 4.0% Superior Parietal Lobule; 1.0% Precentral Gyrus,58.1% Left Cerebral Cortex ; 40.1% Left Cerebral White Matter
0.423,0.339,11,0.155,0.533,0.322,4.49,4.18,0,42,28,20,10.0% GM Broca's area BA45 R,"27.0% Inferior Frontal Gyrus, pars triangularis; 25.0% Middle Frontal Gyrus; 6.0% Inferior Frontal Gyrus, pars opercularis; 1.0% Frontal Pole",68.9% Right Cerebral Cortex ; 31.1% Right Cerebral White Matter
0.057,0.072,36,0.016,0.629,0.392,4.4,4.1,0,-62,-56,-6,,"79.0% Middle Temporal Gyrus, temporooccipital part; 10.0% Lateral Occipital Cortex, inferior division; 4.0% Inferior Temporal Gyrus, temporooccipital part",96.0% Left Cerebral Cortex ; 2.0% Left Cerebral White Matter
NaN,NaN,NaN,NaN,0.718,0.483,4.32,4.03,0,-56,-48,-6,,"41.0% Middle Temporal Gyrus, temporooccipital part; 5.0% Inferior Temporal Gyrus, temporooccipital part; 3.0% Middle Temporal Gyrus, posterior division; 1.0% Inferior Temporal Gyrus, posterior division",53.5% Left Cerebral Cortex ; 46.5% Left Cerebral White Matter
0.423,0.339,11,0.155,0.699,0.466,4.33,4.05,0,-52,-22,38,62.0% GM Primary somatosensory cortex BA2 L; 51.0% GM Inferior parietal lobule PFt L; 17.0% GM Primary somatosensory cortex BA1 L; 12.0% GM Primary somatosensory cortex BA3b L; 5.0% GM Anterior intra-parietal sulcus hIP2 L,"48.0% Postcentral Gyrus; 14.0% Supramarginal Gyrus, anterior division",62.0% Left Cerebral Cortex ; 38.0% Left Cerebral White Matter
0.357,0.308,13,0.124,0.735,0.495,4.3,4.02,0,36,16,32,,"38.0% Middle Frontal Gyrus; 2.0% Inferior Frontal Gyrus, pars opercularis",51.9% Right Cerebral White Matter; 48.1% Right Cerebral Cortex 
0.423,0.339,11,0.155,0.759,0.518,4.28,4,0,50,26,36,,69.0% Middle Frontal Gyrus,81.1% Right Cerebral Cortex ; 7.6% Right Cerebral White Matter
0.254,0.23,17,0.083,0.768,0.527,4.27,3.99,0,-48,0,-36,,"50.0% Inferior Temporal Gyrus, anterior division; 13.0% Middle Temporal Gyrus, anterior division; 12.0% Temporal Pole; 3.0% Middle Temporal Gyrus, posterior division; 3.0% Inferior Temporal Gyrus, posterior division",84.9% Left Cerebral Cortex ; 11.8% Left Cerebral White Matter
0.357,0.308,13,0.124,0.772,0.531,4.26,3.99,0,42,18,52,,79.0% Middle Frontal Gyrus; 2.0% Superior Frontal Gyrus,87.9% Right Cerebral Cortex ; 0.0% Right Cerebral White Matter
0.461,0.367,10,0.174,0.879,0.679,4.14,3.88,0,-14,-26,-2,,,78.6% Left Thalamus; 0.2% Left Cerebral White Matter
